MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,GROOTHEID_OMSCHRIJVING,WAARNEMINGDATUM,REFERENTIE,NUMERIEKEWAARDE
Driel boven,DRIELBVN,Temperatuur,01-01-2019,00:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,00:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,00:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,00:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,00:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,00:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,01:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,01:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,01:20:00,"7,3"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,01:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,01:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,01:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,02:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,02:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,02:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,02:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,02:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,02:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,03:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,03:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,03:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,03:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,03:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,03:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,04:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,04:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,04:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,04:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,04:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,04:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,05:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,05:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,05:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,05:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,05:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,05:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,06:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,06:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,06:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,06:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,06:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,06:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,07:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,07:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,07:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,07:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,07:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,07:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,08:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,08:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,08:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,08:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,08:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,08:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,09:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,09:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,09:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,09:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,09:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,09:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,10:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,10:10:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,10:20:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,10:30:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,10:40:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,10:50:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,11:00:00,"7,2"
Driel boven,DRIELBVN,Temperatuur,01-01-2019,11:10:00,"7,2"
