MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,WAARNEMINGDATUM,Average Temperatuur
Borgharen stuw.,BORGHRSW,01-01-2020,6.0
Borgharen stuw.,BORGHRSW,01-02-2020,8.0
Borgharen stuw.,BORGHRSW,01-03-2020,7.0
Borgharen stuw.,BORGHRSW,01-04-2019,12.0
Borgharen stuw.,BORGHRSW,01-04-2020,9.0
Borgharen stuw.,BORGHRSW,01-05-2019,16.0
Borgharen stuw.,BORGHRSW,01-05-2020,17.0
Borgharen stuw.,BORGHRSW,01-06-2019,19.0
Borgharen stuw.,BORGHRSW,01-06-2020,21.0
Borgharen stuw.,BORGHRSW,01-07-2019,25.0
Borgharen stuw.,BORGHRSW,01-07-2020,22.0
Borgharen stuw.,BORGHRSW,01-08-2019,22.9
Borgharen stuw.,BORGHRSW,01-08-2020,23.0
Borgharen stuw.,BORGHRSW,01-09-2019,23.0
Borgharen stuw.,BORGHRSW,01-09-2020,19.0
Borgharen stuw.,BORGHRSW,01-10-2019,17.0
Borgharen stuw.,BORGHRSW,01-10-2020,17.0
Borgharen stuw.,BORGHRSW,01-11-2019,13.0
Borgharen stuw.,BORGHRSW,01-12-2019,8.0
Borgharen stuw.,BORGHRSW,01-12-2020,9.0
Borgharen stuw.,BORGHRSW,02-02-2020,8.0
Borgharen stuw.,BORGHRSW,02-03-2020,7.0
Borgharen stuw.,BORGHRSW,02-04-2019,12.0
Borgharen stuw.,BORGHRSW,02-04-2020,10.0
Borgharen stuw.,BORGHRSW,02-05-2019,16.0
Borgharen stuw.,BORGHRSW,02-05-2020,17.0
Borgharen stuw.,BORGHRSW,02-06-2019,20.0
Borgharen stuw.,BORGHRSW,02-06-2020,21.0
Borgharen stuw.,BORGHRSW,02-08-2020,23.0
Borgharen stuw.,BORGHRSW,02-09-2019,23.0
Borgharen stuw.,BORGHRSW,02-10-2019,17.0
Borgharen stuw.,BORGHRSW,02-11-2020,14.0
Borgharen stuw.,BORGHRSW,02-12-2019,8.0
Borgharen stuw.,BORGHRSW,02-12-2020,9.0
