MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,WAARNEMINGDATUM,Average Waterhoogte
Maastricht,MAA,01/01/1986,4390.208333
Maastricht,MAA,01/01/1987,4412.791667
Maastricht,MAA,01/01/1988,4402.625
Maastricht,MAA,01/02/1986,4394.333333
Maastricht,MAA,01/02/1987,4399.541667
Maastricht,MAA,01/02/1988,4423.25
Maastricht,MAA,01/03/1986,4393.666667
Maastricht,MAA,01/03/1987,4415.083333
Maastricht,MAA,01/03/1988,4401.416667
Maastricht,MAA,01/04/1986,4510.416667
Maastricht,MAA,01/04/1987,4400.083333
Maastricht,MAA,01/04/1988,4413.791667
Maastricht,MAA,01/05/1986,4404.833333
Maastricht,MAA,01/05/1987,4400.625
Maastricht,MAA,01/05/1988,4403.333333
Maastricht,MAA,01/06/1986,4398.458333
Maastricht,MAA,01/06/1987,4397.25
Maastricht,MAA,01/06/1988,4406.041667
Maastricht,MAA,01/07/1986,4403.5
Maastricht,MAA,01/07/1987,4400
Maastricht,MAA,01/07/1988,4403.25
Maastricht,MAA,01/08/1986,4399.375
Maastricht,MAA,01/08/1987,4401.708333
Maastricht,MAA,01/08/1988,4406.208333
Maastricht,MAA,01/09/1986,4396.833333
Maastricht,MAA,01/09/1987,4397.125
Maastricht,MAA,01/09/1988,4403.166667
Maastricht,MAA,01/10/1986,4404.458333
Maastricht,MAA,01/10/1987,4398.166667
Maastricht,MAA,01/10/1988,4402.083333
Maastricht,MAA,01/11/1986,4400.791667
Maastricht,MAA,01/11/1987,4400.541667
Maastricht,MAA,01/11/1988,4402.208333
Maastricht,MAA,01/12/1986,4399.25
Maastricht,MAA,01/12/1987,4408.041667
Maastricht,MAA,01/12/1988,4399.375
Maastricht,MAA,02/01/1986,4392.416667
Maastricht,MAA,02/01/1987,4461
Maastricht,MAA,02/01/1988,4403.208333
Maastricht,MAA,02/02/1986,4393.416667
Maastricht,MAA,02/02/1987,4399.916667
Maastricht,MAA,02/02/1988,4423.083333
Maastricht,MAA,02/03/1986,4392.166667
Maastricht,MAA,02/03/1987,4415.541667
Maastricht,MAA,02/03/1988,4403.166667
Maastricht,MAA,02/04/1986,4464.458333
Maastricht,MAA,02/04/1987,4398.666667
Maastricht,MAA,02/04/1988,4410.875
Maastricht,MAA,02/05/1986,4401.291667
Maastricht,MAA,02/05/1987,4401.333333
Maastricht,MAA,02/05/1988,4399.333333
Maastricht,MAA,02/06/1986,4396.458333
Maastricht,MAA,02/06/1987,4398.416667
Maastricht,MAA,02/06/1988,4403.125
